Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
NCP002	NCP002_WGS	3	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_apr24/PE75/wgs/lane3_NCP002_WGS_BMK230913-BP051-ZX01-010002-01_good_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_apr24/PE75/wgs/lane3_NCP002_WGS_BMK230913-BP051-ZX01-010002-01_good_2.fq.gz	NA
SLN001	SLN001_WGS	3	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_apr24/PE75/wgs/lane3_SLN001_WGS_BMK230913-BP051-ZX01-010002-01_good_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_apr24/PE75/wgs/lane3_SLN001_WGS_BMK230913-BP051-ZX01-010002-01_good_2.fq.gz	NA
VKP001	VKP001_WGS	3	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_apr24/PE75/wgs/lane3_VKP001_WGS_BMK230913-BP051-ZX01-010002-01_good_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_apr24/PE75/wgs/lane3_VKP001_WGS_BMK230913-BP051-ZX01-010002-01_good_2.fq.gz	NA
WMP005	WMP005_WGS	3	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_apr24/PE75/wgs/lane3_WMP005_WGS_BMK230913-BP051-ZX01-010002-01_good_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_apr24/PE75/wgs/lane3_WMP005_WGS_BMK230913-BP051-ZX01-010002-01_good_2.fq.gz	NA
BRW001	BRW001_WGS	4	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_apr24/PE75/wgs/lane4_BRW001_WGS_BMK230913-BP051-ZX01-010002-01_good_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_apr24/PE75/wgs/lane4_BRW001_WGS_BMK230913-BP051-ZX01-010002-01_good_2.fq.gz	NA
DVT014	DVT014_WGS	4	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_apr24/PE75/wgs/lane4_DVT014_WGS_BMK230913-BP051-ZX01-010002-01_good_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_apr24/PE75/wgs/lane4_DVT014_WGS_BMK230913-BP051-ZX01-010002-01_good_2.fq.gz	NA
DVT016	DVT016_WGS	4	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_apr24/PE75/wgs/lane4_DVT016_WGS_BMK230913-BP051-ZX01-010002-01_good_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_apr24/PE75/wgs/lane4_DVT016_WGS_BMK230913-BP051-ZX01-010002-01_good_2.fq.gz	NA
DVT022	DVT022_WGS	4	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_apr24/PE75/wgs/lane4_DVT022_WGS_BMK230913-BP051-ZX01-010002-01_good_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_apr24/PE75/wgs/lane4_DVT022_WGS_BMK230913-BP051-ZX01-010002-01_good_2.fq.gz	NA
HOC005	HOC005_WGS	4	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_apr24/PE75/wgs/lane4_HOC005_WGS_BMK230913-BP051-ZX01-010002-01_good_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_apr24/PE75/wgs/lane4_HOC005_WGS_BMK230913-BP051-ZX01-010002-01_good_2.fq.gz	NA
HOC007	HOC007_WGS	4	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_apr24/PE75/wgs/lane4_HOC007_WGS_BMK230913-BP051-ZX01-010002-01_good_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_apr24/PE75/wgs/lane4_HOC007_WGS_BMK230913-BP051-ZX01-010002-01_good_2.fq.gz	NA
KZR002	KZR002_WGS	4	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_apr24/PE75/wgs/lane4_KZR002_WGS_BMK230913-BP051-ZX01-010002-01_good_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_apr24/PE75/wgs/lane4_KZR002_WGS_BMK230913-BP051-ZX01-010002-01_good_2.fq.gz	NA
NCP002	NCP002_WGS	4	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_apr24/PE75/wgs/lane4_NCP002_WGS_BMK230913-BP051-ZX01-010002-01_good_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_apr24/PE75/wgs/lane4_NCP002_WGS_BMK230913-BP051-ZX01-010002-01_good_2.fq.gz	NA
SLN001	SLN001_WGS	4	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_apr24/PE75/wgs/lane4_SLN001_WGS_BMK230913-BP051-ZX01-010002-01_good_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_apr24/PE75/wgs/lane4_SLN001_WGS_BMK230913-BP051-ZX01-010002-01_good_2.fq.gz	NA
VKP001	VKP001_WGS	4	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_apr24/PE75/wgs/lane4_VKP001_WGS_BMK230913-BP051-ZX01-010002-01_good_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_apr24/PE75/wgs/lane4_VKP001_WGS_BMK230913-BP051-ZX01-010002-01_good_2.fq.gz	NA
WMP005	WMP005_WGS	4	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_apr24/PE75/wgs/lane4_WMP005_WGS_BMK230913-BP051-ZX01-010002-01_good_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_apr24/PE75/wgs/lane4_WMP005_WGS_BMK230913-BP051-ZX01-010002-01_good_2.fq.gz	NA
